iter	Passed	Remaining
248	16164	17073
249	16208	16986
250	16266	16914
251	16314	16832
252	16384	16773
253	16443	16702
254	16496	16625
255	16545	16545
256	16595	16466
257	16642	16384
258	16692	16306
259	16748	16233
260	16802	16158
261	16860	16088
262	16912	16012
263	16972	15943
264	17015	15859
265	17064	15781
266	17127	15715
267	17179	15640
268	17233	15567
269	17288	15495
270	17345	15425
271	17406	15358
272	17466	15290
273	17525	15222
274	17578	15149
275	17633	15077
276	17692	15009
277	17744	14936
278	17800	14865
279	17853	14792
280	17903	14718
281	17955	14644
282	18007	14571
283	18066	14504
284	18127	14438
285	18183	14368
286	18247	14305
287	18309	14240
288	18368	14173
289	18424	14104
290	18482	14036
291	18542	13970
292	18596	13899
293	18647	13827
294	18707	13760
295	18763	13692
296	18816	13621
297	18875	13554
298	18924	13481
299	18981	13413
300	19039	13346
301	19097	13279
302	19162	13217
303	19232	13159
304	19298	13097
305	19359	13032
306	19419	12967
307	19487	12907
308	19556	12847
309	19622	12786
310	19685	12722
311	19742	12655
312	19802	12590
313	19860	12523
314	19915	12455
315	19973	12388
316	20028	12320
317	20085	12253
318	20142	12186
319	20199	12119
320	20276	12064
321	20341	12002
322	20403	11938
323	20471	11878
324	20549	11823
325	20615	11762
326	20677	11698
327	20736	11632
328	20793	11566
329	20849	11498
330	20912	11435
331	20970	11369
332	21036	11308
333	21095	11242
334	21151	11175
335	21213	11111
336	21279	11050
337	21345	10988
338	21402	10922
339	21468	10860
340	21523	10793
341	21581	10727
342	21644	10664
343	21700	10598
344	21760	10533
345	21821	10469
346	21885	10406
347	21941	10340
348	21996	10273
349	22061	10211
350	22118	10145
351	22178	10081
352	22234	10014
353	22294	9950
354	22349	9884
355	22404	9817
356	22459	9751
357	22514	9684
358	22570	9619
359	22622	9551
360	22680	9486
361	22750	9427
362	22820	9367
363	22890	9307
364	22967	9249
365	23035	9189
366	23104	9128
367	23170	9066
368	23225	9000
369	23290	8938
370	23346	8873
371	23418	8813
372	23473	8747
373	23524	8680
374	23599	8621
375	23643	8551
376	23716	8492
377	23791	8433
378	23868	8376
379	23945	8317
380	24016	8257
381	24091	8198
382	24160	8137
383	24224	8074
384	24291	8013
385	24346	7947
386	24401	7881
387	24465	7818
388	24524	7754
389	24589	7692
390	24650	7628
391	24713	7565
392	24771	7500
393	24828	7436
394	24895	7374
395	24956	7310
396	25009	7244
397	25077	7182
398	25140	7119
399	25199	7055
400	25261	6992
401	25326	6930
402	25382	6865
403	25443	6801
404	25521	6742
405	25600	6683
406	25681	6625
407	25750	6563
408	25829	6504
409	25916	6447
410	25994	6387
411	26069	6327
412	26145	6267
413	26207	6203
414	26271	6140
415	26334	6077
416	26392	6012
417	26460	5950
418	26523	5886
419	26589	5824
420	26643	5759
421	26708	5696
422	26766	5631
423	26828	5568
424	26887	5504
425	26952	5441
426	27015	5377
427	27077	5314
428	27140	5250
429	27195	5186
430	27252	5121
431	27314	5058
432	27372	4994
433	27431	4930
434	27494	4866
435	27548	4802
436	27609	4738
437	27677	4676
438	27749	4614
439	27805	4550
440	27868	4486
441	27931	4423
442	27991	4359
443	28050	4296
444	28117	4233
445	28175	4169
446	28236	4105
447	28291	4041
448	28351	3978
449	28412	3914
450	28475	3851
451	28533	3787
452	28594	3724
453	28652	3660
454	28714	3597
455	28772	3533
456	28824	3469
457	28887	3405
458	28951	3342
459	29016	3280
460	29083	3217
461	29150	3154
462	29207	3091
463	29269	3027
464	29328	2964
465	29397	2901
466	29450	2837
467	29513	2774
468	29578	2711
469	29650	2649
470	29720	2587
471	29776	2523
472	29839	2460
473	29898	2396
474	29962	2333
475	30024	2270
476	30085	2207
477	30141	2143
478	30201	2080
479	30254	2016
480	30312	1953
481	30375	1890
482	30438	1827
483	30493	1764
484	30551	1700
485	30608	1637
486	30663	1574
487	30723	1510
488	30784	1447
489	30839	1384
490	30900	1321
491	30958	1258
492	31021	1195
493	31065	1131
494	31127	1069
495	31184	1005
496	31245	943
497	31304	880
498	31367	817
499	31432	754
500	31494	691
501	31549	628
502	31601	565
503	31659	502
504	31723	439
505	31785	376
506	31842	314
507	31904	251
508	31965	188
509	32022	125
510	32078	62
511	32139	0
