iter	Logloss
460	0.2440725204
461	0.2439046245
462	0.2437201417
463	0.2433835063
464	0.2432200331
465	0.2430476703
466	0.2427939815
467	0.2426608374
468	0.2424606902
469	0.2422697424
470	0.2420766374
471	0.2418665371
472	0.2416596838
473	0.2414745063
474	0.2411899072
475	0.2409796774
476	0.2408986529
477	0.240691803
478	0.2405144261
479	0.2402873066
480	0.2400922503
481	0.2398161421
482	0.2396059759
483	0.2392886805
484	0.2391065467
485	0.2389806029
486	0.2386755946
487	0.2384916198
488	0.2383011514
489	0.2380848079
490	0.2378598327
491	0.2377195205
492	0.2375919026
493	0.2373646037
494	0.2370517898
495	0.2368879594
496	0.2366864197
497	0.236440676
498	0.2362447631
499	0.2360346391
500	0.2359032171
501	0.2356920497
502	0.2355850608
503	0.2353661985
504	0.2351940829
505	0.2350255863
506	0.2348417408
507	0.234631303
508	0.234438696
509	0.2342240143
510	0.2341066136
511	0.2337817124
